Player,Team,AB,1B,2B,3B,HR,TB/AB,BB/K
C Bender,BOR,33,7,1,,1,0.39,0.2
K. Fedko,BOR,50,11,,,,0.22,0.21
D. Rushing,BOR,95,17,6,,5,0.52,0.54
C. Knapczyk,BOR,90,22,8,,,0.42,0.86
C. Wallace,BOR,62,11,5,,2,0.47,0.32
R. Crawford,BOR,27,5,2,,1,0.48,0.13
M. Anderson,BOR,90,20,7,,1,0.42,0.33
J. Lampe,BOR,93,24,,1,,0.29,0.7
N. Goodwin,BOR,59,12,1,,1,0.31,0.21
B. Wimmer,BOR,85,16,6,,2,0.42,0.15
T. Schobel,BOR,62,12,3,,3,0.48,0.26
C. Thomas,BOR,73,7,4,2,4,0.51,0.27
P. Burns,BOR,41,6,2,,,0.24,1
Z. Agnos,BOR,61,4,2,2,3,0.43,0.41
J. Moylan,BOR,51,6,,,1,0.2,0.39
S. Goosenberg,BRE,37,8,1,,1,0.38,0.29
C. Davis,BRE,50,19,,,2,0.54,0.9
C. Castillo,BRE,30,7,1,,1,0.43,0.64
Z. Neto,BRE,46,7,4,,3,0.59,1
J. Thompson,BRE,85,10,7,2,3,0.49,0.85
K. Byrne,BRE,60,10,2,,,0.23,0.19
C. Lanzilli,BRE,31,4,2,,,0.26,0.29
A. Freeland,BRE,63,11,3,,,0.27,0.88
S. Jones,BRE,57,9,4,,3,0.51,0.23
W. Simpson,BRE,60,8,2,,3,0.4,0.48
D. Carter,BRE,29,2,2,,,0.21,0.63
N. Biddison,BRE,54,5,2,1,,0.22,0.5
T. Faltine,BRE,45,5,1,,1,0.24,0.28
M. Bingham,BRE,41,5,1,,,0.17,0.47
G. Cross,BRE,19,,,,2,0.42,0.5
C. Weiss,BRE,44,3,,,2,0.25,0.63
P. Brown,BRE,38,2,1,,,0.11,0.32
A. Benefield,CHA,36,2,2,,2,0.39,0.43
G. Martin,CHA,26,4,1,,1,0.38,0.08
M. Hogan,CHA,63,7,6,,3,0.49,0.38
D. Serretti,CHA,55,13,3,,,0.35,0.42
C. Grice,CHA,28,5,,,2,0.46,0.33
K. Parada,CHA,28,5,2,,,0.32,1.33
M. Romero Jr,CHA,66,9,4,,4,0.5,0.09
J. Rivera,CHA,91,17,3,,1,0.3,0.39
J. Castagnozzi,CHA,39,6,,1,2,0.44,0.17
L. Miller-Green,CHA,100,13,2,,6,0.41,0.33
M. Garcia,CHA,56,6,3,,,0.21,0.29
J. DeLeo,CHA,89,14,2,,,0.2,0.23
L. Britt,CHA,46,5,2,,1,0.28,0.2
C. Trenkle,CHA,77,7,4,,,0.19,0.35
D. Mendham,CHA,25,2,1,,,0.16,0.29
D. Tamez,CHA,35,1,2,,,0.14,0.2
D. Beavers,COT,30,5,2,,,0.3,0.5
J. Rhodes,COT,33,5,5,,,0.45,0.11
B. Rice,COT,34,6,3,,,0.35,0.55
R. Schreck,COT,39,7,1,,1,0.33,1.25
A. Garriola,COT,43,7,1,,3,0.49,0.31
C. Cummings,COT,52,10,3,1,1,0.44,0.4
B. Baldwin,COT,67,11,3,1,1,0.36,0.19
E. Figueroa,COT,11,1,,,,0.09,0
J. Grady,COT,45,7,2,,2,0.42,0.5
E. Brown,COT,88,17,1,,3,0.35,0.44
N. Martorella,COT,46,9,2,,,0.28,1.78
L. Gold,COT,86,13,4,,6,0.52,0.5
B. Roberts,COT,57,10,4,,1,0.39,0.33
R.  Ritter,COT,66,16,2,,1,0.36,0.33
M. Donlan,COT,43,8,,,,0.19,0.11
B. Ware,FAL,30,1,,,1,0.17,0.33
K. Armstrong,FAL,61,8,4,,6,0.66,0.32
J. French,FAL,52,6,2,,2,0.35,0.27
T. Smith,FAL,58,3,4,,4,0.47,0.39
B. Milone,FAL,36,5,1,,,0.19,0.33
L. Boyers,FAL,66,7,1,,1,0.2,0.32
J. Dukart,FAL,49,9,2,,,0.27,0.64
A. Hall,FAL,77,13,5,,2,0.4,0.75
K. Kolden,FAL,85,12,2,,2,0.28,0.18
M. Curialle,FAL,91,11,4,1,2,0.33,0.23
J. Bohrofen,FAL,99,17,7,2,5,0.58,0.64
B. Taylor,FAL,85,16,6,,2,0.42,0.67
N. Lucky,HAR,29,3,,,1,0.24,0.08
C. Beloso,HAR,32,7,1,,,0.28,0.3
B. Malgeri,HAR,42,9,,,2,0.4,0.42
H. Hughes,HAR,50,6,2,,1,0.28,0.8
B. Tinsman,HAR,13,2,2,,,0.46,2.5
B. Wilken,HAR,106,19,9,,6,0.58,0.58
P. Cavenaugh,HAR,79,20,6,,1,0.46,0.64
T. Levins,HAR,83,14,7,,1,0.39,0.9
C. Newell,HAR,55,9,2,1,4,0.58,0.12
J. Beck,HAR,67,10,3,1,1,0.34,0.36
C. Putz,HAR,95,21,3,,,0.28,0.5
D. Phillips,HAR,34,8,1,,3,0.65,0.44
J. Lazaro,HAR,23,5,,,,0.22,0.46
J. Hood,HAR,70,9,5,1,1,0.37,0.12
Z. Prajzner,HAR,77,13,4,,1,0.32,0.31
M. Cotier,HAR,32,8,3,,,0.44,0.25
M. Ricciardi,HYA,30,4,,,,0.13,0.36
M. Pujols,HYA,48,8,1,,2,0.38,0.14
C. Eliott,HYA,63,20,2,1,1,0.49,0.86
L. Mann,HYA,82,14,4,,4,0.46,0.21
R. Proto,HYA,27,7,,,,0.26,0.29
Z. Harris,HYA,78,11,5,,1,0.32,0.58
R. Romano,HYA,69,8,3,2,1,0.35,0.11
C. Rose,HYA,84,14,2,,1,0.26,0.48
D. Johnson,HYA,91,16,3,2,2,0.4,0.33
M. Hartigan,HYA,89,15,3,2,1,0.35,0.23
K. Ball,HYA,94,16,3,,,0.23,0.91
C. Pendleton,HYA,42,4,4,,2,0.48,0.2
M. Greer,HYA,71,9,1,,,0.15,0.22
R. Thomas,ORL,49,17,3,,,0.47,0.75
C. Kokx,ORL,55,11,3,,,0.31,0.33
T. Harmon,ORL,29,7,,,1,0.38,0.33
C. DeLauter,ORL,102,14,7,1,8,0.62,0.75
P. Chatagnier,ORL,73,14,3,,4,0.49,0.39
J Sprinkle,ORL,28,7,,,,0.25,0.44
G. Guillemette,ORL,51,8,,,3,0.39,0
T. Locklear,ORL,98,13,2,,9,0.54,0.21
L. Keaschall,ORL,54,16,3,1,2,0.61,0.25
J. Jung,ORL,32,4,1,1,1,0.41,0.18
D. Marcano,ORL,26,4,,,1,0.31,0.5
J. McKenzie,ORL,73,13,2,,,0.23,0.29
J. Marcano,ORL,57,7,2,,1,0.26,0.27
J. Miknis,ORL,41,8,1,,1,0.34,1.75
C. Acton*,ORL,49,7,3,,,0.27,0.2
B. Blackwell,ORL,45,7,,,,0.16,0.19
J. Costello,ORL,21,5,1,,,0.33,0.5
J. Bulger,ORL,10,,,,,0,0.5
J. Williams,WAR,48,6,3,,4,0.58,0.25
A. DiSpigna,WAR,51,6,3,,1,0.31,0.08
T. Gonzalez,WAR,96,24,6,,,0.38,1.27
O. Diodati,WAR,111,17,4,,7,0.48,0.27
T. Troy,WAR,86,17,2,3,2,0.44,0.53
C. Fergus,WAR,45,7,3,1,1,0.44,0.41
J. Crooks,WAR,81,16,3,,2,0.37,0.5
J. Brannigan,WAR,56,12,1,,,0.25,0.63
J. Jarvis,WAR,100,19,6,1,1,0.38,0.62
K. Clark,WAR,43,6,3,,,0.28,0.31
K. Kern,WAR,77,12,1,,2,0.29,0.28
Y. Morales,WAR,55,8,1,1,,0.24,0.48
A. Frechette,WAR,21,3,1,,,0.24,0.67
P. Skenes,WAR,14,2,,,,0.14,0.11
K. James,WAR,39,5,,,,0.13,0.17
A. Compton,YD,33,4,1,,,0.18,0
N. Baez,YD,54,9,4,,,0.31,0.27
B. Lee,YD,54,15,,,4,0.57,0.1
W. Hoffman,YD,96,19,7,,1,0.39,0.21
K. Huff,YD,78,13,2,,1,0.27,0.22
C. Robinson,YD,20,2,,,2,0.5,0.23
P. Graham,YD,81,14,4,,2,0.37,0.42
C. Luttrell,YD,106,21,3,,1,0.29,0.18
T. Smith,YD,89,15,3,,2,0.33,0.44
P. Ferreras,YD,58,6,2,,1,0.24,0.14
B. Knight,YD,63,6,3,,,0.19,0.18
D. Bowser,YD,50,7,1,,1,0.26,0.37
Z. Lew,YD,59,7,1,,,0.15,0.25
C. Hunter,YD,44,3,2,,1,0.25,0.11
D. Keegan,YD,32,6,,,4,0.69,0.25